Date,Open,High,Low,Close,Volume
05/01/2023,"19.16","19.25","18.46","18.55","2,356,640"
04/28/2023,"18.92","19.72","18.88","19.29","2,836,576"
04/27/2023,"18.75","19.34","18.72","18.94","2,238,947"
04/26/2023,"18.98","19.23","18.65","18.65","2,287,611"
04/25/2023,"19.74","20.04","18.91","19.00","2,560,841"
04/24/2023,"20.15","20.41","19.81","19.93","2,742,391"
04/21/2023,"20.20","20.62","20.10","20.49","2,085,872"
04/20/2023,"20.88","21.57","20.06","20.22","2,977,376"
04/19/2023,"21.28","21.87","20.96","21.31","2,539,480"
04/18/2023,"22.14","22.32","21.50","21.61","2,748,702"
04/17/2023,"22.27","22.68","22.14","22.28","2,066,616"
04/14/2023,"22.74","23.25","22.32","22.46","2,312,372"
04/13/2023,"22.50","22.85","22.33","22.55","1,803,934"
04/12/2023,"22.90","23.28","22.26","22.26","2,141,141"
04/11/2023,"22.57","23.17","22.42","22.69","2,539,969"
04/10/2023,"21.85","22.43","21.82","22.37","2,176,087"
04/06/2023,"22.00","22.67","21.77","22.40","2,506,935"
04/05/2023,"22.47","22.47","21.23","22.07","3,638,100"
04/04/2023,"22.75","23.14","22.09","22.35","3,421,464"
04/03/2023,"22.94","23.85","22.66","23.17","4,274,492"
